codex,Site_ID,Facility_Name,LAB,replicate
AT,0PD00000,Athens WTP,OSU,a
0PD00000,0PD00000,Athens WTP,OSU,a
NA4,0PD00004,Coshocton WWTP,SM,a
0PD00004,0PD00004,Coshocton WWTP,SM,a
NA10,0PD00007,Ironton WWTP,SM,a
0PD00007,0PD00007,Ironton WWTP,OSU-AMSL,a
NA9,0PD00008,Jackson WWTP,SM,a
0PD00008,0PD00008,Jackson WWTP,OSU-AMSL,a
0PD00014,0PD00014,Steubenville WWTP,OSU-AMSL,a
0PD00014601,0PD00014601,Steubenville WWTP,OSU-AMSL,a
NA6,0PD00014601,Steubenville WWTP,SM,a
MA,0PD00016601,Marietta WWTP,OSU,a
0PD00016601,0PD00016601,Marietta WWTP,OSU,a
0PD0004,0PD0004,Coshocton WWTP,OSU-AMSL,a
ZV,0PE00000601,Zanesville WWTP,OSU,a
0PE00000601,0PE00000601,Zanesville WWTP,OSU,a
NA19,1PC00001601,City of Eaton WWTP,SM,a
1PC00001601,1PC00001601,City of Eaton WWTP,SM,a
OXA,1PD00007,Oxford WWTP,OSUII,a
OXB,1PD00007,Oxford WWTP,OSUII,b
1PD00007,1PD00007,Oxford WWTP,OSUII,a
NA11,1PD00009,City of Sidney WWTP,SM,a
1PD00009,1PD00009,City of Sidney WWTP,OSU-AMSL,a
1PD00013,1PD00013,City of Wilmington,OSU_AMSL,a
NA15,1PD00013601,City of Wilmington WWTP,SM,a
TCA,1PD00020,Tri-Cities North Regional WWTP ,OSUII,a
TCB,1PD00020,Tri-Cities North Regional WWTP ,OSUII,b
1PD00020,1PD00020,Tri-Cities North Regional WWTP ,OSUII,a
BVA,1PK00003,Beavercreek WRRF,OSUII,a
BVB,1PK00003,Beavercreek WRRF,OSUII,b
1PK00003,1PK00003,Beavercreek WRRF,OSUII,b
BGSUSB1,2PA00067,Put In Bay WWTP,BGSU,a
2PA00067,2PA00067,Put In Bay WWTP,BGSU,a
UTNAP,2PD00000,Napoleon WWTP,UT,a
